,Target,Student Price,Worker Price,Guest Price,Student Tax,Worker Tax,Guest Tax,Week,Year,x0_Friday,x0_Monday,x0_Thursday,x0_Tuesday,x0_Wednesday,x0_April,x0_August,x0_December,x0_February,x0_January,x0_July,x0_June,x0_March,x0_May,x0_November,x0_October,x0_September,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,snow_1h,is_holiday,is_leacture_free
2022-10-18,134.0,1.1582608695652172,1.323,1.26,0.0024347826086956,0.07,0.07,0.7924528301886793,0.986341463414634,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3865361892533699,0.7299020158267309,0.4564283245058735,0.635416755732794,0.5870964473196284,1.208394663461516,1.025088646448869,-0.4645934999298524,0.2409535878120727,-0.393684807661287,0.2743019293922391,-0.1905825430599761,0.0,0.0
2022-10-19,137.0,1.1893805309734513,1.0408695652173914,1.512,0.0,0.07,0.07,0.7924528301886793,0.986341463414634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0903614563917823,0.0962700206716878,-0.1033609916761809,-0.086072770687017,-0.0444570922233946,1.2370464482474417,0.6791077988283619,0.1164330691432359,-2.506054250391593,0.6919433587997771,-0.5602004200347398,-0.1905825430599761,0.0,0.0
2022-10-20,134.0,1.267924528301887,1.066153846153846,1.066153846153846,0.0,0.07,0.07,0.7924528301886793,0.986341463414634,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2108669220848048,-0.208777477785044,-0.3428679165638287,-0.4460068715076868,-0.0638019754166043,0.4634482590274689,0.0407487701201046,2.0160402385892247,-1.240761107133461,0.8742316703324186,0.0837762788381343,-0.1905825430599761,0.0,0.0
2022-10-21,90.0,1.267605633802817,1.26,1.26,0.0,0.07,0.07,0.7924528301886793,0.986341463414634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0679710952832349,0.3243722047635957,0.0734744598879123,0.1846884673177211,-0.1707678001319991,-0.2767228479422748,0.8350428287418306,0.90391577951133,-0.5366181300362354,-0.0331590359633964,1.3698244200783418,-0.1905825430599761,0.0,0.0
2022-10-22,0.0,1.267605633802817,1.26,1.26,0.0,0.07,0.07,0.7924528301886793,0.986341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2823245825145405,0.5721441182641893,0.3541358171395672,0.3646555177280559,0.1433020681812878,0.0479973796315506,0.8740265862201969,0.1198037816541749,0.5253933414583726,0.7830875145660976,0.6763110520614002,-0.1905825430599761,0.0,0.0
2022-10-23,0.0,1.267605633802817,1.26,1.26,0.0,0.07,0.07,0.7924528301886793,0.986341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3514727259915208,0.611416900032717,0.4218526655846704,0.2754826549121242,0.3151301483092095,-0.0093061899403001,0.7034726472523423,-0.2979539001703116,-0.7746818368923776,0.2402734313355655,0.4553012974186387,-0.1905825430599761,0.0,0.0
2022-10-24,147.0,1.2295081967213115,1.26,1.26,0.0,0.07,0.07,0.8113207547169812,0.986341463414634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3948846328871436,0.7095655159296155,0.460484410387903,0.9677883353194486,-0.0012155886150434,-0.1573404113342567,0.883772525589788,1.0956250535709786,-0.1022291584350931,0.963350400415043,3.115039379153941,-0.1905825430599761,0.0,0.0
2022-10-25,150.0,1.240677966101695,1.3147826086956522,0.945,0.0,0.07,0.07,0.8113207547169812,0.986341463414634,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.097852765944811,0.3329068670155001,0.1812575225335513,0.0663317584893026,0.0625087324920001,0.3201893350978419,0.7375834350459122,0.9951356868386132,0.1389262848737261,0.7830875145660976,-0.4439797731967358,-0.1905825430599761,0.0,0.0
2022-10-26,147.0,1.1796610169491524,1.3125,1.2616666666666667,0.0023728813559322,0.07,0.07,0.8113207547169812,0.986341463414634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1997613537501857,0.4650607778223288,0.2623792401741425,0.0938942797233178,0.2081643235938145,0.5398530184565989,0.8252968893722377,-0.390437824689197,-0.3642538227994832,-0.2134219218123419,-0.2858434832368289,-0.1905825430599761,0.0,0.0
2022-10-27,144.0,1.209375,1.05,1.26,0.0021875,0.07,0.07,0.8113207547169812,0.986341463414634,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2981002622087056,0.5564750117860843,0.3770873274964172,0.4262658593099725,0.4949237685755113,1.1940687710685536,0.7522023441002997,-0.7561601321260648,-0.6131386072399952,-0.7562360050428739,-0.607831832673266,-0.1905825430599761,0.0,0.0
