,Target,Student Price,Worker Price,Guest Price,Student Tax,Worker Tax,Guest Tax,Week,Year,x0_Friday,x0_Monday,x0_Thursday,x0_Tuesday,x0_Wednesday,x0_April,x0_August,x0_December,x0_February,x0_January,x0_July,x0_June,x0_March,x0_May,x0_November,x0_October,x0_September
2022-02-23,142.0,1.0753731343283583,0.975,1.17,0.0010447761194029852,0.07,0.07,0.1509433962264151,0.9863414634146341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-24,118.0,1.053781512605042,1.17,1.17,0.0023529411764705885,0.07,0.07,0.1509433962264151,0.9863414634146341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-25,105.0,1.0185185185185186,1.17,3.5,0.002592592592592593,0.07,0.07,0.1509433962264151,0.9863414634146341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-26,0.0,1.0185185185185186,1.17,3.5,0.002592592592592593,0.07,0.07,0.1509433962264151,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-27,0.0,1.0185185185185186,1.17,3.5,0.002592592592592593,0.07,0.07,0.1509433962264151,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-28,130.0,1.0484375000000001,1.5599999999999998,3.5,0.0032812500000000003,0.07,0.07,0.16981132075471697,0.9863414634146341,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,107.0,1.0893203883495146,1.17,1.17,0.001359223300970874,0.07,0.07,0.16981132075471697,0.9863414634146341,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-02,118.0,1.1528846153846155,1.17,1.17,0.0,0.07,0.07,0.16981132075471697,0.9863414634146341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-03,110.0,1.1317307692307692,1.17,1.17,0.0,0.07,0.07,0.16981132075471697,0.9863414634146341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-04,98.0,1.065979381443299,1.17,1.17,0.0014432989690721652,0.07,0.07,0.16981132075471697,0.9863414634146341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
