,Target Coffee,Target Milk Coffee,Target Cocoa,Target Tee,Target Coffee Time,Student Price Coffee,Worker Price Coffee,Guest Price Coffee,Student Price Milk Coffee,Worker Price Milk Coffee,Guest Price Milk Coffee,Student Price Cocoa,Worker Price Milk Cocoa,Guest Price Milk Cocoa,Student Price Tee,Worker Price Tee,Guest Price Tee,Student Price Coffee Time,Worker Price Coffee Time,Guest Price Coffee Time,Student Tax,Worker Tax,Guest Tax,Week,Year,x0_Friday,x0_Monday,x0_Saturday,x0_Sunday,x0_Thursday,x0_Tuesday,x0_Wednesday,x0_April,x0_August,x0_December,x0_February,x0_January,x0_July,x0_June,x0_March,x0_May,x0_November,x0_October,x0_September,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,precipitation,is_holiday,is_lecture_free,is_covid,is_winter,is_summer
2024-12-15,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,50.0,2024.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146666666666667,0.52,3.99,1029.0,85.0,10.73,248.0,5.28,0.0,0.0,0.0,1.0,0.0
2024-12-16,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,51.0,2024.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.096666666666667,4.14,7.3,1033.0,90.0,10.28,0.0,1.74,0.0,0.0,0.0,1.0,0.0
2024-12-17,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,51.0,2024.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.489999999999999,5.43,7.12,1031.0,91.0,2.24,206.0,1.8,0.0,0.0,0.0,1.0,0.0
2024-12-18,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,51.0,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.886666666666667,4.41,9.33,1022.0,79.0,10.28,0.0,0.32,0.0,0.0,0.0,1.0,0.0
2024-12-19,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,51.0,2024.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.756666666666668,4.39,9.98,1004.0,93.0,11.18,0.0,13.58,0.0,0.0,0.0,1.0,0.0
2024-12-20,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,51.0,2024.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1966666666666668,1.59,4.46,1020.0,85.0,10.28,0.0,0.35,1.0,0.0,0.0,1.0,0.0
2024-12-21,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,51.0,2024.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6966666666666668,0.68,4.36,1021.0,94.0,12.52,0.0,2.36,1.0,0.0,0.0,1.0,0.0
2024-12-22,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,51.0,2024.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2700000000000005,1.24,6.01,999.0,90.0,13.41,225.0,5.53,1.0,0.0,0.0,1.0,0.0
2024-12-23,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,52.0,2024.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6166666666666665,0.34,2.71,1011.0,91.0,7.6,0.0,2.54,1.0,0.0,0.0,1.0,0.0
2024-12-24,0.0,0.0,0.0,0.0,0.0,1.26,1.36,1.63,1.85,1.87,2.34,1.3,1.36,1.36,0.7,0.75,0.75,2.45,2.2,4.39,0.0,0.07,0.07,52.0,2024.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.9,3.79,1028.0,84.0,7.15,0.0,0.27,1.0,0.0,0.0,1.0,0.0
